path,text,carrier,exaggeration,cfg_weight,emotion
assessment_style/CanYouCopyMe.wav,Can you copy me?,no,0.5,0.5,neutral
assessment_style/CanYouMatchThis.wav,Can you match this?,no,0.5,0.5,neutral
assessment_style/FindTheRightOne.wav,Find the right one.,no,0.5,0.5,neutral
assessment_style/GoodListening.wav,Good listening.,no,0.5,0.5,neutral
assessment_style/GoodLooking.wav,Good looking.,no,0.5,0.5,neutral
assessment_style/LetSeeWhatYouCanDo.wav,Let's see what you can do!,no,0.5,0.5,neutral
assessment_style/LetsTryTheNextTask.wav,Let's try the next task.,no,0.5,0.5,neutral
assessment_style/ShowMe.wav,Show me.,no,0.5,0.5,neutral
assessment_style/WhatComesNext.wav,What comes next?,no,0.5,0.5,neutral
assessment_style/WhichOneIsTheSame.wav,Which one is the same?,no,0.5,0.5,neutral
attention_and_regulation/CalmBody.wav,Calm body.,no,0.3,0.5,calm
attention_and_regulation/EyesHere.wav,Eyes here.,no,0.3,0.5,calm
attention_and_regulation/GoodCalmingDown.wav,Good calming down.,no,0.3,0.5,calm
attention_and_regulation/ItsOkay.wav,It's okay.,no,0.3,0.5,calm
attention_and_regulation/LetsContinue.wav,Let's continue.,no,0.3,0.5,calm
attention_and_regulation/LetsSlowDown.wav,Let's slow down.,no,0.3,0.5,calm
attention_and_regulation/ListenCarefully.wav,Listen carefully.,no,0.3,0.5,calm
attention_and_regulation/ReadyAgain.wav,Ready again.,no,0.3,0.5,calm
attention_and_regulation/TakeABreath.wav,Take a breath.,no,0.3,0.5,calm
attention_and_regulation/YouAreSafe.wav,You are safe.,no,0.3,0.5,calm
colors/Blue.wav,Blue.,yes,0.5,0.5,neutral
colors/Gold.wav,Gold.,yes,0.5,0.5,neutral
colors/Green.wav,Green.,yes,0.5,0.5,neutral
colors/Magenta.wav,Magenta.,yes,0.5,0.5,neutral
colors/Orange.wav,Orange.,yes,0.5,0.5,neutral
colors/Pink.wav,Pink.,yes,0.5,0.5,neutral
colors/Purple.wav,Purple.,yes,0.5,0.5,neutral
colors/Red.wav,Red.,yes,0.5,0.5,neutral
colors/Teal.wav,Teal.,yes,0.5,0.5,neutral
colors/Yellow.wav,Yellow.,yes,0.5,0.5,neutral
core_praise/Aumazing.wav,Aumazing!,no,0.6,0.5,happy
core_praise/Ausome.wav,Ausome!,no,0.6,0.5,happy
core_praise/Correct.wav,Correct!,no,0.6,0.5,happy
core_praise/Excellent.wav,Excellent!,no,0.6,0.5,happy
core_praise/GreatJob.wav,Great job!,no,0.6,0.5,happy
core_praise/NiceWork.wav,Nice work!,no,0.6,0.5,happy
core_praise/ThatsRight.wav,That's right!,no,0.6,0.5,happy
core_praise/VeryGood.wav,Very good!,no,0.6,0.5,happy
core_praise/WellDone.wav,Well done!,no,0.6,0.5,happy
core_praise/YayYouGotIt.wav,Yay! You got it!,no,0.6,0.5,happy
core_praise/YouDidIt.wav,You did it!,no,0.6,0.5,happy
dynamic/DragThe.wav,Drag the,yes,0.5,0.5,neutral
dynamic/DropThe.wav,Drop the,yes,0.5,0.5,neutral
dynamic/TapThe.wav,Tap the,yes,0.5,0.5,neutral
gently_retry/AlmostThere.wav,Almost there.,no,0.5,0.5,gentle
gently_retry/GiveItAnotherTry.wav,Give it another try.,no,0.5,0.5,gentle
gently_retry/KeepGoing.wav,Keep going.,no,0.5,0.5,gentle
gently_retry/LetsDoItOneMoreTime.wav,Let's do it one more time.,no,0.5,0.5,gentle
gently_retry/LetsPracticeAgain.wav,Let's practice again.,no,0.5,0.5,gentle
gently_retry/LetsTryAgain.wav,Let's try again.,no,0.5,0.5,gentle
gently_retry/NiceTry.wav,Nice try.,no,0.5,0.5,gentle
gently_retry/NotYet.wav,Not yet.,no,0.5,0.5,gentle
gently_retry/TryAgain.wav,Try again.,no,0.5,0.5,gentle
gently_retry/YouCanDoIt.wav,You can do it.,no,0.5,0.5,gentle
instruction/ChooseOne.wav,Choose one.,no,0.5,0.5,neutral
instruction/CopyMe.wav,Copy me.,no,0.5,0.5,neutral
instruction/CountWithMe.wav,Count with me.,no,0.5,0.5,neutral
instruction/DragIt.wav,Drag it.,no,0.5,0.5,neutral
instruction/FindTheSame.wav,Find the same.,no,0.5,0.5,neutral
instruction/FollowMe.wav,Follow me.,no,0.5,0.5,neutral
instruction/GiveTheDeviceToYourParent.wav,Please give the device to your parent.,no,0.5,0.5,neutral
instruction/LetsBegin.wav,Let's begin.,no,0.5,0.5,neutral
instruction/Listen.wav,Listen.,no,0.5,0.5,neutral
instruction/MatchIt.wav,Match it.,no,0.5,0.5,neutral
instruction/MyTurn.wav,My turn.,no,0.5,0.5,neutral
instruction/PickTheColor.wav,Pick the color.,no,0.5,0.5,neutral
instruction/PickTheShape.wav,Pick the shape.,no,0.5,0.5,neutral
